POS Location Name,Date,Order Name,Month,Barcode,Payment Method,Ordered Quantity
215 Rue Queen,09-27-2024 18:01,#1464,Sep 2024,191683934024,INTERAC,1
215 Rue Queen,09-27-2024 18:01,#1464,Sep 2024,196458416231,INTERAC,1
215 Rue Queen,09-27-2024 17:59,#1463,Sep 2024,083622064131,,1
215 Rue Queen,09-27-2024 16:38,#1462,Sep 2024,083625612681,INTERAC,1
215 Rue Queen,09-27-2024 16:33,#1461,Sep 2024,191057532870,INTERAC,1
215 Rue Queen,09-27-2024 16:33,#1461,Sep 2024,191057183928,INTERAC,1
215 Rue Queen,09-27-2024 16:31,#1460,Sep 2024,051071128315,INTERAC,1
215 Rue Queen,09-27-2024 16:31,#1460,Sep 2024,084084240064,INTERAC,1
215 Rue Queen,09-27-2024 16:12,#1459,Sep 2024,084084325839,INTERAC,1
215 Rue Queen,09-27-2024 16:12,#1459,Sep 2024,083625612674,INTERAC,1
215 Rue Queen,09-27-2024 16:12,#1459,Sep 2024,196458554285,INTERAC,1
215 Rue Queen,09-27-2024 16:12,#1459,Sep 2024,083622161922,INTERAC,1
215 Rue Queen,09-27-2024 15:54,#1458,Sep 2024,196458347269,VISA,1
215 Rue Queen,09-27-2024 15:37,#1457,Sep 2024,023906777319,MASTERCARD,1
215 Rue Queen,09-27-2024 15:31,#1456,Sep 2024,061083049805,MASTERCARD,1
215 Rue Queen,09-27-2024 15:31,#1456,Sep 2024,023906815981,MASTERCARD,1
215 Rue Queen,09-27-2024 15:31,#1456,Sep 2024,023906073145,MASTERCARD,1
215 Rue Queen,09-27-2024 15:31,#1456,Sep 2024,064784850022,MASTERCARD,1
215 Rue Queen,09-27-2024 15:24,#1455,Sep 2024,023906048600,MASTERCARD,1
215 Rue Queen,09-27-2024 14:37,#1454,Sep 2024,059186140031,,1
215 Rue Queen,09-27-2024 14:37,#1453,Sep 2024,023906048600,VISA,1
215 Rue Queen,09-27-2024 14:30,#1452,Sep 2024,083622163049,INTERAC,1
215 Rue Queen,09-27-2024 13:13,#1451,Sep 2024,76230163,MASTERCARD,2
215 Rue Queen,09-27-2024 13:13,#1451,Sep 2024,816078008202,MASTERCARD,1
215 Rue Queen,09-27-2024 12:59,#1450,Sep 2024,191057549076,INTERAC,1
215 Rue Queen,09-27-2024 12:45,#1449,Sep 2024,023906048532,VISA,1
215 Rue Queen,09-27-2024 12:24,#1448,Sep 2024,032664751714,MASTERCARD,1
215 Rue Queen,09-27-2024 12:20,#1447,Sep 2024,191683831750,VISA,1
215 Rue Queen,09-27-2024 12:20,#1447,Sep 2024,196458008245,VISA,1
215 Rue Queen,09-27-2024 12:20,#1447,Sep 2024,191056509323,VISA,1
215 Rue Queen,09-27-2024 12:20,#1447,Sep 2024,191684012028,VISA,1
215 Rue Queen,09-27-2024 12:20,#1447,Sep 2024,196458354021,VISA,1
215 Rue Queen,09-27-2024 12:13,#1446,Sep 2024,062703210704,,2
215 Rue Queen,09-27-2024 11:22,#1445,Sep 2024,023906770969,INTERAC,1
215 Rue Queen,09-27-2024 10:39,#1444,Sep 2024,,VISA,1
215 Rue Queen,09-27-2024 10:39,#1444,Sep 2024,05017619,VISA,1
215 Rue Queen,09-27-2024 10:19,#1443,Sep 2024,76435987,,1
215 Rue Queen,09-27-2024 09:44,#1442,Sep 2024,023906768393,MASTERCARD,1
215 Rue Queen,09-27-2024 12:04,#1441,Sep 2024,059186740880,,2
,09-27-2024 08:55,#1387,Sep 2024,,,2
Grand Total,,,,,,44
